street,state,city,postcode,safety_flag
209 Marna drive,CA,Vacaville,95687,FALSE
10305 Chapel Hill Blvd,WA,Pasco,99301-9206,FALSE
11252 Naomi Drive,OH,Parma,44130,FALSE
21447 Esquire Ct,MD,Lexington Park,20653-1326,FALSE
901 West Veterans Memorial Boulevard,TX,Killeen,76541,FALSE
2 Nottingham Rd,AR,Little Rock,72205-5152,FALSE
4003 Pelone Dr,PA,Verona,15147-3156,FALSE
3514 East Roundtree Drive,FL,Cocoa,32926,FALSE
633 SW 175th St,WA,Seattle,98166,FALSE
11 Poe Rd,NJ,Brick,08724-2442,FALSE
301 Modene St Trlr 66,TX,Seagoville,75159-2004,FALSE
9 Metropolitan Oval,NY,Bronx,10462,FALSE
769 Howard Ave,CT,Bridgeport,06605-1917,FALSE
3162 Likens Road,OH,Marion,43302,FALSE
150 shady lane spc404,MT,kalispell,59901,FALSE
4500 Sleepy Hammock Dr,FL,Milton,32583-3152,FALSE
1132 WEST MONROE ST,IL,SPRINGFIELD,62704,TRUE
4099 Philwood Ave,TN,Memphis,38122-3909,FALSE
758 Southland pass,GA,Stone mountain,30087,FALSE
2053 oak meadows circle,FL,Daytona Beach,32119,FALSE
4432 Cancille St,FL,New Port Richey,34652,FALSE
4521 Hillside Dr.,OH,Copley,44321,FALSE
10 Taconic Ln,MA,South Egremont,1258,FALSE
3732 Springvale Street Southeast,VA,Roanoke,24014,FALSE
96 Wildewood Run,CT,Bristol,06010-3167,FALSE
7 Van Buren St,NY,Albany,12206-1219,FALSE
1617 Fannin St,TX,Houston,77002-7600,FALSE
10263 Slater Ave,CA,Fountain Valley,92708-4775,FALSE
4822 San Ortebello Dr,FL,Bradenton,34208-0608,FALSE
5276 Linden Ave,CA,Long Beach,90805-6542,FALSE
2545 East Avenue I,CA,Lancaster,93535,FALSE
12795 Rd. 114,OH,PAULDING,45879,FALSE
404 n main st,NJ,Hightstown,8520,FALSE
175 Bangor Ave,CA,San Jose,95123-3602,FALSE
6420 Mansfield Dr,WI,Greendale,53129-1229,FALSE
807 Dodge Ave,IL,Evanston,60202-1500,FALSE
300 North Third St.,PA,Philadelphia,19106,FALSE
7302 Soundview Dr,WA,Gig Harbor,98335-1955,FALSE
6312 cape cod ave,CA,Bakersfield,93313,FALSE
3049 Gamay Ave,CA,Madera,93637,FALSE
5112 Southwick Ct,CA,San Jose,95136-2856,FALSE
5852 SW 33rd st,FL,Miami,33155,FALSE
230 TRACE HARBOR RD,MS,Madison,39110,FALSE
132b THOUROUGHBRED AVE,LA,La Place,70068,FALSE
445 E Fallingbranch Drive,ID,Meridian,83642,FALSE
38 Yale Ave,PA,Swarthmore,19081-1607,FALSE
1458 NE 30th Street,FL,Pompano Beach,33064,FALSE
7410 Spring Tree Dr,VA,Springfield,22153-2027,TRUE
303 21st Street Southwest,MN,Austin,55912,FALSE
10 Bacon Slip,MA,Milford,01757-3133,FALSE
142 Grove Avenue,NY,Albany,12208,FALSE
7815 SW 102nd Lane,FL,Miami,33156,FALSE
1904 Sweetbriar Lane,FL,Jacksonville,32217,FALSE
1101 Hawthorne Lane #149,NC,Charlotte,28205,FALSE
9630 Acadian Dr,TX,San Antonio,78245-2744,FALSE
6310 Nectar Grove Ct,TX,Katy,77493-3078,FALSE
1379 Ralph Bell Rd,SC,Summerton,29148-7897,FALSE
344 Strotz Rd.,NJ,ASBURY,8802,FALSE
49 Forest Blvd,NY,Ardsley,10502-1034,FALSE
151 NE 5th Ave,FL,Delray Beach,33483,FALSE
267 Grand Ridge Rd,IL,Saint Charles,60175-1074,FALSE
262 S 2nd St,PA,Lebanon,17042-5433,FALSE
2158 East Electra Lane,AZ,Phoenix,85024,FALSE
3661 Mt. Diablo Blvd Apt. 10,CA,Lafayette,94549,FALSE
5755 NW 115th Ct,FL,Doral,33178,FALSE
2972 rt 16 n,NY,Olean,14760,FALSE
3600 SW 29th Terrace St,KS,Topeka,66614,FALSE
4002 Huey Street,TX,Houston,77087,FALSE
32905 Summers St,MI,Livonia,48154-4141,FALSE
1855 cavemill rd.,KY,Leitchfield,42754,FALSE
30 Hillcrest Dr,TN,Sparta,38583-2129,FALSE
68 Jensen St,CT,Manchester,06042-3614,FALSE
6695 shawnee road,DE,Milford,19963,FALSE
700 Al Piano,TX,Irving,75060,FALSE
193 E Louis Pl,NJ,Iselin,08830-1205,FALSE
3522 Wyllys Road,NY,West Point,10996,FALSE
518 Riverside Avenue,AL,Tallassee,36078,FALSE
305 Waldorf Pkwy,NY,Syracuse,13224-2239,FALSE
8336 S Paulina St,IL,Chicago,60620-4635,FALSE
25735 72nd Ave E,WA,Graham,98338,FALSE
1067 Proctor Road,PA,Williamsport,17701,FALSE
18107 121st Ave SW,WA,Vashon,98070-4710,FALSE
205 Union St Apt 3,VT,Bennington,05201-3105,FALSE
12 Ingalls St,NY,Middletown,10940-6527,FALSE
516 NE 70th St.,WA,Seattle,98115,FALSE
705 2nd Ave Ste 910,WA,Seattle,98104-1716,FALSE
2953 White Pine Dr,TX,Schertz,78154,FALSE
2110 Wallapai Dr,AZ,Lake Havasu City,86403-4831,FALSE
1116 Northview Drive,MO,Jefferson City,65109,FALSE
3600 Oakwood Rd,NC,Charlotte,28269-4155,FALSE
499 Redwood Forest Dr,MO,Manchester,63021-5704,FALSE
590 E. Boundary Rd.,WI,Woodville,54028,FALSE
645 Mi Tierra Ln,CA,Santa Maria,93455,FALSE
9900 SW 22nd St,FL,Miami,33165-7566,FALSE
51 Rutland Rd.,ME,Troy,4987,FALSE
153 Cedar Lane,NC,Arden,28704,FALSE
65 West 73rd Street,NY,New York,10023,FALSE
600 8th Ave,NJ,Toms River,08757-2319,FALSE
117 Waterway Village Court,FL,West Palm Beach,33413,FALSE
1830 R St NW,DC,Washington,20009,FALSE
1391 Harrington Dr,TN,Gallatin,37066-7133,FALSE
1621 Killdeer Ct,WI,Sheboygan Falls,53085,FALSE
13430 W Keim Dr,AZ,Litchfield Park,85340,FALSE
14765 Chili Ave W,MN,Rosemount,55068-4317,FALSE
1175 E Mannsiding Rd,MI,Harrison,48625,FALSE
1805 John Cir,SC,Gilbert,29054,FALSE
2313 S Bon View Ave,CA,Ontario,91761-5804,FALSE
718 Long Bridge St,CA,San Francisco,94158-2444,FALSE
7572 Imperial Dr N,MN,Minneapolis,55443-3218,FALSE
1352 Thompson ave,NJ,Gloucester City,8030,FALSE
704 Pioneer St,OR,Philomath,97370,FALSE
650 30TH STREET DR SE,IA,CEDAR RAPIDS,52403,FALSE
1242 Andalusia Dr,CA,Sacramento,95833-2805,FALSE
1001 W Bonbright St,NM,Carlsbad,88220-4423,FALSE
1162 Midnight Pl,IL,Yorkville,60560-4746,FALSE
320 N 7th St,CA,San Jose,95112-3338,FALSE
425 Nottingham Ct,TX,Saginaw,76179-0815,FALSE
133 NE 2nd Ave,FL,Miami,33132-2918,FALSE
1927 Gerrard Avenue,IN,Speedway,46224,FALSE
2506 W Jefferson Blvd,CA,Los Angeles,90018-3703,FALSE
29-22 Northern Blvd Apt 407,NY,New York,11101,FALSE
7930 Grove Street,CO,Westminster,80030,FALSE
4515 Brewster Ave,KY,Louisville,40211-3116,FALSE
810 Kenilworth Ave,MI,Pontiac,48340-3102,FALSE
285 E Del Amo Blvd,CA,Long Beach,90805,FALSE
1630 Old Topanga Canyon Road,CA,Topanga,90290,FALSE
18547 Westbrook Dr,MI,Livonia,48152-2839,FALSE
7601 9th Ave N,FL,Saint Petersburg,33710,FALSE
3809 Coronet Ln,TX,Arlington,76017-2334,FALSE
6433 211th Street,NY,Oakland Gardens,11364,FALSE
24 Tammy Dr,NY,West Chazy,12992,FALSE
2409 Lawrence Dr,NC,Raleigh,27603-2628,FALSE
262 Lesueur St.,VA,Dillwyn,23936,FALSE
1630 golf overlook,GA,Stone mountain,30088,FALSE
17537 Cypress Ave,IL,Country Club Hills,60478-4813,FALSE
1212 Brewster Ct,NJ,Plainfield,7060,FALSE
56-419 kamehameha hwy hm 335,HI,kahuku,96731,FALSE
25 Merino Court,MD,Owings Mills,21117,FALSE
544 HARREL LANE,KY,CLARKSON,42726,FALSE
720 NE FLAGSTONE LANE,WA,BREMERTON,98310,FALSE
304 Scott St,PA,Wilkes Barre,18702-5521,FALSE
8960 NW 8th St,FL,Miami,33172-3435,FALSE
13230 N Jennings Rd,MI,Clio,48420-8826,FALSE
15308 Torcross Way,MD,Upper Marlboro,20774,FALSE
6937 Blue Spruce St,TX,Brownsville,78526-3004,FALSE
11714 W Laurel Ln,AZ,El Mirage,85335-5021,FALSE
161 Bayberry Drive,OR,Medford,97501,FALSE
4324 W Point Loma Blvd,CA,San Diego,92107-1177,FALSE
37653 49th Ave S,WA,Auburn,98001-9403,FALSE
924 Seneca Falls Dr,FL,Orlando,32828-6605,FALSE
240 E 21st St,WA,Goldendale,98620-9265,FALSE
6804 NE 79th Court STE 532071,OR,Portland,97218,TRUE
37 Harvest Rd,NH,Chichester,03258-6545,FALSE
129 Scotland Yard Blvd,FL,Saint Johns,32259-5913,FALSE
94-586 Awamoi St,HI,Waipahu,96797-1606,FALSE
3753 N Jot Dr,TN,Clarksville,37040,FALSE
412 Boundbrook Dr,NC,Mebane,27302-8653,FALSE
1109 nw 3rd st,FL,Okeechobee,34972,FALSE
96 Mountain View Ln,WA,Elma,98541-9158,FALSE
1511 County Road 134,TX,Floresville,78114,FALSE
149 Claremont Ave.,NJ,Montclair,7042,FALSE
2018 142nd Pl SW,WA,Lynnwood,98087,FALSE
6147 Charlotte Place,CA,Palmdale,93552,FALSE
14521,WA,Marysville,98271,FALSE
2324 N Ontario St,CA,Burbank,91504-3164,FALSE
1668 D street,MD,JB Andrews,20762,FALSE
11711 Gwynne Ave,CA,Norwalk,90650-1936,FALSE
9667 Canyon Landing Ave,NV,Las Vegas,89166-3799,FALSE
2701 W Tichenor St,CA,Compton,90220-3944,FALSE
12716 Foothill Blvd,CA,Sylmar,91342-5313,FALSE
1034 Legacy Walk,GA,Woodstock,30189,FALSE
249 Teakwood Ln,TX,Lewisville,75067-6579,FALSE
2935 Union Rd,CA,Paso Robles,93446-8391,FALSE
642 Athena Pl,CA,Santa Rosa,95407-7684,FALSE
10750 Westwood Lake Dr,FL,Miami,33165-7050,FALSE
342 State Route 122,NY,Constable,12926-1907,FALSE
996 Stone Coal Rd,KY,Flatgap,41219-9319,FALSE
7511 White's creek rd,KY,Catlettsburg,41129,FALSE
1838 Mentor Road,TN,Louisville,37777,FALSE
122 Red Oak Dr,OH,Seville,44273-9139,FALSE
1527 W Spring Creek Pkwy,TX,Plano,75023,FALSE
1616 29TH CT S,AL,HOMEWOOD,35209,FALSE
1806 E 1st St,NC,Greenville,27858-2208,FALSE
1930 N Green Ln N,IL,Palatine,60074-1531,FALSE
608 Valley Plum Ave,TX,El Paso,79932-4317,FALSE
860 Lexington Dr,CA,Salinas,93906-4415,FALSE
116 Coutant Rd,NY,Circleville,10919-3266,FALSE
29655 SW 166th Ct,FL,Homestead,33033,FALSE
783 SCENIC ROAD #4,NH,Laconia,3247,FALSE
3973 Kimberly Jo Dr,NC,Rocky Mount,27804-8116,FALSE
1409 W Yucca Ave,NM,Artesia,88210-1149,FALSE
19503 Crystal Ridge Lane,CA,Porter Ranch,91326,FALSE
2112 N Brazosport Blvd,TX,Richwood,77531,FALSE
250 Leah Ln,AZ,Duncan,85534,FALSE
206 County Road 458,TX,Hondo,78861-6046,FALSE
4141 189th St,IL,Country Club Hills,60478-5607,FALSE
172 Cardinal Rd,IA,Ames,50010-8060,FALSE
4108 Arroyo Trl,TX,Fort Worth,76135-2302,FALSE
117 Covey Rise Circle,TN,Clarksville,37043,FALSE
3900 Harrison Street,CA,Oakland,94611,FALSE
66 Simpson Drive,CA,Daly City,94015,FALSE
9 Benson Rd,NY,Wassaic,12592-2209,FALSE
2026 Pinehurst Ct Apt D,PA,Allentown,18109-3388,TRUE
620 Sunset Ave,NJ,Haworth,07641-1509,FALSE
2095 Blackberry Circle,GA,Auburn,30011,FALSE
3120 Division St,WA,Enumclaw,98022-3318,FALSE
5133 Janie Dr,PA,Pittsburgh,15227-3619,FALSE
1 Winding Way,KY,Fort Thomas,41075,FALSE
2702 19th st,NE,Columbus,68601,FALSE
3543 S Lombard Ave,IL,Cicero,60804-4129,FALSE
10362 SW 212th St,FL,Cutler Bay,33189-3074,FALSE
13512 NE 23rd Pl,FL,North Miami,33181-1849,FALSE
740 Seminole Way,CA,Palo Alto,94303,FALSE
7373 E US Hwy 60 Lot 381,AZ,gold canyon,85118,FALSE
1333 N Neptune Ave,CA,Wilmington,90744-2538,FALSE
105 Roswell Ct NE,GA,Atlanta,30305-1413,FALSE
1371 Franklin Ave,NY,Bronx,10456-2401,FALSE
2032 Chatwin Ave.,CA,Long Beach,90815,FALSE
2940 Courtland Dr,TX,Dallas,75287-5968,FALSE
2108 Dolphin Blvd. S,FL,Saint Petersburg,33707,FALSE
14396 Deerfield Dr SE,WA,Monroe,98272-7293,FALSE
5402 Balboa Arms Dr,CA,San Diego,92117-5072,FALSE
466 Acacia Avenue,CA,Manteca,95336,TRUE
109 Bradley Ct,KS,Tonganoxie,66086-9333,FALSE
11 Woodview Dr,CT,Brookfield,06804-1911,FALSE
79 NW 34th Ter,FL,Miami,33127-3514,FALSE
32 Hillside Ave,NJ,Tenafly,07670-2129,FALSE
2521 Shropshire Pl,GA,McDonough,30253-6879,FALSE
117 Rolling Hills Ave SE,OR,Salem,97306-2899,FALSE
11010 Affinity Ln,TX,Rowlett,75089-0147,FALSE
6922 Bluffgrove Cir,IN,Indianapolis,46278-2806,FALSE
2318 East Cromwell Avenue,CA,Fresno,93720,FALSE
926 VALLEY VIEW DR,MI,TRAVERSE CITY,49685-8744,FALSE
4079 42nd Sq,FL,Vero Beach,32967-1963,FALSE
28 Pine Acre Rd,MA,Springfield,01129-1717,FALSE
207 East Kansas St,KS,Hanover,66945,FALSE
852 Overlook Glen Drive,GA,Lawrenceville,30045,FALSE
1602 Chickees St,TN,Johnson City,37604-7105,TRUE
15 Karen St,NJ,Spotswood,08884-1228,FALSE
705 W 1st St,IA,Grimes,50111-2119,FALSE
1575 Tremont St,MA,Boston,02120-1635,FALSE
10008 Mariner Dr NW,WA,Olympia,98502-9755,FALSE
2001 Old Laurens Rd,SC,Greenwood,29649-9235,FALSE
3121 PALOMINOS PASS,TX,Cedar Park,78641,FALSE
1035 Newbridge St,CA,East Palo Alto,94303-1032,FALSE
4318 Munger Ave.,TX,Dallas,75204,FALSE
475 ZARLING AVE,WI,OSHKOSH,54901,FALSE
4804 Boothbay Way,TX,Fort Worth,76179-4126,FALSE
53 Oliver Street,RI,North Providence,2904,FALSE
5106 Esperanza,CA,Irvine,92618-1735,FALSE
8689 Fordham Ct,OH,Cincinnati,45255-3209,FALSE
78365 Highway 111,CA,La Quinta,92253,FALSE
75 N Main St,PA,Fairchance,15436-1071,FALSE
1039 Ferrari Drive,IL,Coal City,60416,FALSE
6816 Jackrabbit Ct,MD,Waldorf,20603-4418,FALSE
212 E Leigh St Apt 34,VA,Richmond,23219-1375,FALSE
238 Township Road 1031,OH,South Point,45680-7887,FALSE
4415 Lincoln LN NW,MN,Rochester,55901,FALSE
14001 Three Rivers Rd,MS,Gulfport,39503,FALSE
1416 Clovis Ave Ste 206,CA,Clovis,93612-2700,FALSE
812 W Broadway Ave,MN,Saint Peter,56082-1331,FALSE
12415 Lakeland Drive,LA,Walker,70785,FALSE
790 S Park Rd,FL,Hollywood,33021-8563,FALSE
26 Patmar Dr,CT,Monroe,06468-1518,FALSE
319 S 5th St,NJ,Elizabeth,7206,FALSE
7950 Etiwanda Avenue,CA,Rancho Cucamonga,91739,FALSE
4331 Mammoth Ave,CA,Sherman Oaks,91423-3637,FALSE
33033 Weiss Rd,LA,Walker,70785-4914,FALSE
2001 Walnut Ave,CA,Venice,90291,FALSE
73 Country Club Acres,IL,Belleville,62223-3607,FALSE
9714 Haskell Ave,CA,North Hills,91343-2017,FALSE
2181 Barnes Avenue,NY,Bronx,10462,FALSE
363 Sackett Street,NY,Brooklyn,11231,FALSE
5661 Trinity Lane,MI,Wyoming,49418,TRUE
41 Galloping Hill Rd,NJ,Basking Ridge,7920,FALSE
6131 Tampa Ave,CA,Tarzana,91335-6640,FALSE
7610 Wood Mist Lane,VA,Falls Church,22043,FALSE
15707 Rio dell dr,TX,Houston,77083,FALSE
928 19th St,NJ,Union City,07087-2051,FALSE
311 S Evergreen Rd,OR,Woodburn,97071-3056,FALSE
1225 E 60th St,CA,Los Angeles,90001-1119,FALSE
6685 Utsa Blvd,TX,San Antonio,78249-1564,FALSE
10726 E. Freer St.,CA,Temple City,91780,FALSE
1200 S Grand Ave,CA,Los Angeles,90015-3948,FALSE
3007 hollington road,SC,Johns Island,29455,FALSE
10803 Zehmer Ave,VA,Mc Kenney,23872-2640,FALSE
3480 San Marino St.,CA,Los Angeles,90006,TRUE
832 s. 17th ave,IL,Freeport,61032,FALSE
15149 Beverly Dr,PA,Philadelphia,19116-1410,FALSE
2071 Barbados CV,CA,Chula Vista,91915-1323,FALSE
W7803 Dike Rd,WI,Fond Du Lac,54937-9742,FALSE
2740 Central Rd,KY,Mayfield,42066-6437,FALSE
446 Bradley Road,OH,Bay Village,44140,FALSE
8 sylvan lane,CT,Old Greenwich,6870,FALSE
250 W Santa Fe Ave,CA,Fullerton,92832,FALSE
14203 Barberry Ct,VA,Chester,23836,FALSE
5533 Harvest Hills Rd,NC,Bessemer City,28016-5619,FALSE
8175 Creek Estates Way,CA,Sacramento,95829-8120,FALSE
6615 Bandera Ave,TX,Dallas,75225-4052,FALSE
405 Sybil St,AR,White Hall,71602-2821,FALSE
1129 Glenmore Ave,NY,Brooklyn,11208-3231,FALSE
2387 W Longview Dr,VA,Woodbridge,22191-2438,FALSE
2614 FOUNTAINVIEW CIR apt 204,FL,Naples,34109,FALSE
1685 7th Ave,CA,San Francisco,94122-3716,FALSE
40 Forest Hill Rd.,CT,North Haven,6473,FALSE
234 Tyng Dr,TX,Howardwick,79226-8237,FALSE
3112 Rob Sims Rd,MS,Meridian,39301-9558,FALSE
5907 Limestone Mill Dr,TX,San Antonio,78244,FALSE
312 West Marion Street,NC,Pilot Mountain,27041,FALSE
11075 NW 39th St Apt 206,FL,Sunrise,33351-7566,FALSE
9800 quaye side drive,FL,west palm beach,33411,FALSE
8741 NW 170th Ter,FL,Hialeah,33018-6634,FALSE
704 dale lane,TX,fort worth,76108,FALSE
1251 Crenshaw Boulevard,CA,Los Angeles,90019,FALSE
1336 Waterstone Place,CA,San Ramon,94582,FALSE
621 Saint Andrews Ln,CO,Louisville,80027,FALSE
4544 Palmetto Ct.,MI,Clarkston,48348,FALSE
413 Norwich Salem Tpke,CT,Oakdale,06370-1149,FALSE
220 N Broad St,PA,Allentown,18104,FALSE
551 West 160th Street,NY,New York,10032,FALSE
207 Nicole Dr,LA,Youngsville,70592-5818,FALSE
5204 W Clay Hollow Ave,UT,West Jordan,84081-7801,FALSE
5426 Nicollet Ave,MN,Minneapolis,55419-2628,FALSE
916 N 12th St,IL,Mattoon,61938-3135,FALSE
22030 Kelly Rd,MI,Eastpointe,48021-2709,FALSE
707 eastwood rd,NC,Reidsville,27320,FALSE
4673 Saint Clair Ave,CA,Valley Village,91607,TRUE
1026 17th Pl SW,FL,Vero Beach,32962-6910,FALSE
1506 12th St SE,IA,Altoona,50009-2142,FALSE
10651 Steppington Dr,TX,Dallas,75230-4658,FALSE
245 Fairmount Ave,CA,Oakland,94611,FALSE
75 1st Ave,NJ,Little Falls,07424-1531,FALSE
100 School St,IA,Mystic,52574-8837,FALSE
789 E Enchanted Dr,UT,Midvale,84047,FALSE
4537 Darcie Dr,PA,Erie,16506-1525,FALSE
2700 S Caraway Rd,AR,Jonesboro,72401-7303,FALSE
160 Main St,NH,Contoocook,03229-2625,FALSE
1901 Via Rancho,CA,San Lorenzo,94580-1947,FALSE
9140 Brookshire Ave,CA,Downey,90240-2974,FALSE
72 Shawnee Road,CT,Trumbull,6611,FALSE
2415 E 40th st,GA,savannah,31404,FALSE
1314 Camden Rd,TX,Pasadena,77502-5118,FALSE
4621 Noah Overlook W,GA,Acworth,30101-6852,FALSE
2761 nw 9th pl,FL,Fort Lauderdale,33311,FALSE
754 East 48th Street,NY,Brooklyn,11203,FALSE
183 Dedham ave,MA,Needham,2492,FALSE
61416 29 Palms Hwy,CA,Joshua Tree,92252-6889,FALSE
230 Lexington Ave,PA,Altoona,16601-4936,FALSE
79 Hughes St,NJ,Maplewood,07040-3303,FALSE
1418 5th St,PA,Natrona Heights,15065-1202,FALSE
1014 Cross Bow Dr,TN,Hendersonville,37075-9402,FALSE
801 Dale Road,MD,Glen Burnie,21060,FALSE
425 N Oklahoma Ave,OK,Oklahoma City,73104-1824,FALSE
120 Butternut Walk,GA,Hoschton,30548,FALSE
1315 Tiffany Ln,TX,Commerce,75428-3851,FALSE
302 Birch Ct SW,MN,Isanti,55040-7495,FALSE
15 S Cragmont Ave,CA,San Jose,95127-2441,FALSE
911 graysville rd,TN,Chattanooga,37421,FALSE
830 Dakota St,IA,Akron,51001-8585,FALSE
131 Lucas St,NC,Connelly Springs,28612-7931,FALSE
5377 Pine Creek Rd,OK,Valliant,74764-5203,FALSE
1307 e 127th ave,FL,Tampa,33612,TRUE
10511 Rochester Way,FL,Tampa,33626,FALSE
233 S Villa Ave,IL,Villa Park,60181-2921,FALSE
20 Gregory ln,MA,Florence,1062,FALSE
1324 Michigan Ave NE,DC,Washington,20017-3806,FALSE
175 Woody Hill Rd,RI,Hope Valley,2832,FALSE
56 e 55th street,NY,Brooklyn,11203,FALSE
317 Trailride,TX,Angleton,77515,FALSE
10 Banyan Trak,FL,Ocala,34472,FALSE
1115 Cheyenne Ave,OH,Springfield,45503-6132,FALSE
7510 E Morris St,KS,Wichita,67207-2251,FALSE
338 Heatherstone Road,SC,Columbia,29212,FALSE
114 Pasture Farm Dr,RI,Middletown,02842-7906,FALSE
14418 8th St,TX,Santa Fe,77517-4042,FALSE
9934 Poplar Ave,CA,Fontana,92335,FALSE
429 Dooms Crossing Rd,VA,Waynesboro,22980-8948,FALSE
1245 Helmstetler Rd,NC,Lexington,27295-5091,FALSE
5611 Astoria Ct,MO,Columbia,65203,FALSE
4120 Sunny Crossing Dr,KY,Louisville,40299-7114,FALSE
710 King St,MO,Mount Vernon,65712-1339,FALSE
4206 Lotus St,TX,Texarkana,75503,FALSE
609 Arrowhead Trail,KY,Mount Sterling,40353,FALSE
462 W Elm St,MO,Kahoka,63445-1076,FALSE
322 N 18th St,CA,San Jose,95112-1852,FALSE
1737 e Hudson blvd apt 92,NC,Gastonia,28054,FALSE
2515 8th St W,FL,Lehigh Acres,33971-5449,FALSE
43856 Leonardo Drive,MI,Sterling Heights,48313,FALSE
24 3rd St,MN,Cloquet,55720-1712,FALSE
2915 S East St,IN,Indianapolis,46225-2403,FALSE
7 Moody St,ME,Waterville,04901-5124,FALSE
912 W 11th St,TX,Bonham,75418-3332,FALSE
4604 Athens Ave,TX,Waco,76710-4960,FALSE
8230dames Pt Xing Blvd N,FL,Jacksonville,32277,FALSE
3390 Stratford Rd NE unit 607,GA,Atlanta,30326-1730,FALSE
361 wolf swamp road,MA,Longmeadow,1106,FALSE
15 Susie Ln,NJ,Jackson,08527-3427,FALSE
110 Tyburn Ct,VA,Hampton,23669-1919,FALSE
11718 Starfish Avenue,FL,Jacksonville,32246,FALSE
9680 Crackel Road,OH,Chagrin Falls,44023,FALSE
7702 Woodstock Rd Apt I,MO,Saint Louis,63135-3266,TRUE
2800 Ivy St,LA,Arcadia,71001-6304,FALSE
7217 Willow Oak Ln,AL,Montgomery,36117-4748,FALSE
2436 Harpeth Pl SW,AL,Decatur,35601,FALSE
665 Sweet Donna Place,CA,Nipomo,93444,FALSE
301 E 29TH ST,WA,Bremerton,98310,FALSE
25800 SE Eagle Creek Road,OR,Eagle Creek,97022,FALSE
1275 Limit Ave,MD,Baltimore,21239,FALSE
980 Bluegrass Pike,KY,Danville,40422-9291,FALSE
4316 Herbert Ave,MO,SAINT LOUIS,63134,FALSE
1816 State Route 9,NY,keeseville,12944,FALSE
9513 Woodrow Wilson Dr,TX,McKinney,75072-8429,FALSE
100 Walden Heights Dr,SC,Irmo,29063-7708,FALSE
18 Anchor Ln,NY,Levittown,11756-4431,FALSE
86 Woods Brooke Terrace,NY,Ossining,10562,FALSE
153 Darcy Drive,PA,Saylorsburg,18353,FALSE
3432 Caldwell Drive,NC,Raleigh,27607,FALSE
18435 PENINSULA CLUB DRIVE,NC,Cornelius,28031,FALSE
8922 Mars Drive,FL,Pensacola,32507,FALSE
6813 MAIN STREET,GA,LITHONIA,30058,FALSE
110 Harris Ln,NY,Staten Island,10309-1529,FALSE
6910 Prosik Lane SW,WA,Olympia,98512,FALSE
716 E 15th Ave,TX,Pampa,79065-4506,FALSE
8102 161st Avenue Northeast,WA,Redmond,98052,TRUE
"6612 S 239th Street, M102",WA,Kent,98032,FALSE
239 Martin Street,CT,Hartford,6120,FALSE
3040 Staten Ave,MI,Lansing,48910,FALSE
2044 Little McCall Rd,GA,Guyton,31312,FALSE
1317 NW 146th St,WA,Vancouver,98685,FALSE
2811 Bynan Dr,MI,Ypsilanti,48197-2902,FALSE
424 Ashmun Avenue,PA,Lincoln University,19352,FALSE
470 Hodge Dr,SC,Spartanburg,29303-6267,FALSE
5401 Call Pl SE,DC,Washington,20019-6392,FALSE
14 Singleton St,NJ,South Amboy,08879-2050,FALSE
2559 Fendley Rd,AR,Bismarck,71929-6493,FALSE
215 Plainview St,MN,Owatonna,55060-3236,FALSE
4925 Old House Trail,GA,Atlanta,30342,FALSE
2328 Bancroft Ave,CA,Los Angeles,90039-3619,FALSE
173 banyan bay drive,FL,St Petersburg,33705,FALSE
1532 Clovenstone Dr,OH,Worthington,43085-1723,FALSE
805 W Highway 378,SC,Gresham,29546,FALSE
19635 Tarocco Ln,CA,Riverside,92508-6479,FALSE
24331 S Grange St,MI,Clinton Township,48036,FALSE
1640 Pleasant Street,NC,winston salem,27107,FALSE
"21800 Avalon Blvd, Unit 418",CA,Carson,90745,FALSE
2302 Davenport St,LA,Winnsboro,71295,FALSE
475 Alans Nature CV,FL,Geneva,32732-8414,FALSE
583 Chicopee St,MA,Chicopee,01013-2183,FALSE
5414 Arlington Ave Apt J11,NY,Bronx,10471,FALSE
8600 Digby Drive,TX,Plano,75025,FALSE
40 Morris St,NJ,Passaic,07055-7847,FALSE
2255 Bronxwood Ave,NY,Bronx,10469-4537,FALSE
976 N Church St,WI,Richland Center,53581-1407,FALSE
518 E Leasure Avenue,PA,New Castle,16105,FALSE
9727 Touchton Rd,FL,Jacksonville,32246-8229,FALSE
2012 Ernest St,FL,Jacksonville,32204-3206,FALSE
8605 Blossom Ln,KY,Louisville,40242-3011,FALSE
810 N. Main street,IN,Goshen,46528,FALSE
26 Cutter Dr,NJ,East Hanover,07936-3048,FALSE
10457 194th St,NY,Saint Albans,11412,FALSE
7925 N Brandon Ave,OR,Portland,97217,FALSE
348 Green Meadow Lane,KY,Pikeville,41501,FALSE
150 Rumford Avenue,MA,Mansfield,2048,FALSE
149 Johnston Rd,CA,Sacramento,95815-3729,FALSE
510 7th St,MN,Intl Falls,56649-2621,FALSE
30030 Quail Run Dr,CA,Agoura Hills,91301,FALSE
7237 w Becker ln,AZ,Peoria,84345,FALSE
725 Dakota Rd,VA,Bristol,24201-2911,FALSE
2162 Piney Grove Church Rd,NC,Littleton,27850-8748,FALSE
367 Ross Ave,NY,Staten Island,10306,FALSE
2 Rose St,ME,JACKMAN,4945,FALSE
2964 Masefield Dr,MI,Bloomfield Hills,48304,FALSE
2091 San Marino Way North,FL,Clearwater,33763,FALSE
